farmer_id,farmer_name,monthly_income,land_size_bigha,previous_grants,phone,email,municipality,ward,crop_details,is_fraudulent
FARMER_029,Farmer 30,13541.531251033615,2.244786518825701,0,9850201137,farmer30@gmail.com,भद्रपुर नगरपालिका,5,मकै,False
FARMER_030,Farmer 31,11991.466938853016,0.6740048534008007,1,9882571674,farmer31@gmail.com,भद्रपुर नगरपालिका,10,आलु,False
FARMER_031,Farmer 32,7719.416332893641,12.369665971397945,0,9890497273,farmer32@gmail.com,भद्रपुर नगरपालिका,9,मकै,True
FARMER_032,Farmer 33,14932.51387631033,1.4065444294108427,0,9890954884,farmer33@gmail.com,भद्रपुर नगरपालिका,6,गहुँ,False
FARMER_033,Farmer 34,9711.445355220498,3.710388645952772,0,9867235484,farmer34@gmail.com,भद्रपुर नगरपालिका,1,गहुँ,False
FARMER_034,Farmer 35,19112.724560515944,1.6208636486492953,2,9872182821,farmer35@gmail.com,भद्रपुर नगरपालिका,1,आलु,False
FARMER_035,Farmer 36,8895.781750144888,5.324901607526309,0,9886835154,farmer36@gmail.com,भद्रपुर नगरपालिका,2,आलु,False
FARMER_036,Farmer 37,33273.11885731409,14.135455373102907,7,9890768647,farmer37@gmail.com,भद्रपुर नगरपालिका,9,मकै,True
FARMER_037,Farmer 38,5201.649380601122,2.5169077256914867,0,9893273068,farmer38@gmail.com,भद्रपुर नगरपालिका,3,सरसों,False
FARMER_038,Farmer 39,8359.069755507848,4.220275826054505,0,9833020885,farmer39@gmail.com,भद्रपुर नगरपालिका,1,मकै,False
FARMER_039,Farmer 40,15984.306179345618,1.153703525349067,0,9811286643,farmer40@gmail.com,भद्रपुर नगरपालिका,5,आलु,False
FARMER_040,Farmer 41,18692.332899977053,3.341189901906194,1,9887031056,farmer41@gmail.com,भद्रपुर नगरपालिका,7,आलु,False
FARMER_041,Farmer 42,15856.841405949852,4.960714131423642,0,9851869822,farmer42@gmail.com,भद्रपुर नगरपालिका,6,धान,False
FARMER_042,Farmer 43,14421.758588058798,0.5887751481581587,2,9816200646,farmer43@gmail.com,भद्रपुर नगरपालिका,1,आलु,False
FARMER_043,Farmer 44,13494.481522053557,3.2769507877984565,1,9884092760,farmer44@gmail.com,भद्रपुर नगरपालिका,5,धान,False
FARMER_044,Farmer 45,7607.390048162863,3.3898241913726355,0,9824509187,farmer45@gmail.com,भद्रपुर नगरपालिका,5,सरसों,False
FARMER_045,Farmer 46,11400.778958026456,4.172734307665966,0,9837780899,farmer46@gmail.com,भद्रपुर नगरपालिका,6,मकै,False
FARMER_046,Farmer 47,12696.806145201062,1.144573933682877,1,9815409861,farmer47@gmail.com,भद्रपुर नगरपालिका,3,मकै,False
FARMER_047,Farmer 48,20285.611131094578,1.0193150803735855,0,9898825083,farmer48@gmail.com,भद्रपुर नगरपालिका,5,धान,False
FARMER_048,Farmer 49,16718.091447842307,3.7829123484253464,0,9865478034,farmer49@gmail.com,भद्रपुर नगरपालिका,7,मकै,False
FARMER_049,Farmer 50,34506.37845580266,3.445477009849779,7,9822831595,farmer50@gmail.com,भद्रपुर नगरपालिका,5,आलु,True
FARMER_050,Farmer 51,16620.419846973975,3.3757392755188147,1,9885524262,farmer51@gmail.com,भद्रपुर नगरपालिका,5,गहुँ,False
FARMER_051,Farmer 52,13074.588597918417,3.5196723142454633,0,9887189210,farmer52@gmail.com,भद्रपुर नगरपालिका,5,धान,False
FARMER_052,Farmer 53,11615.389998470208,1.9799629176322637,0,9810448345,farmer53@gmail.com,भद्रपुर नगरपालिका,10,मकै,False
FARMER_053,Farmer 54,18058.38144420434,3.3483805457415055,0,9886246546,farmer54@gmail.com,भद्रपुर नगरपालिका,10,धान,False
FARMER_054,Farmer 55,20154.997612479754,3.439608709948022,0,9884936358,farmer55@gmail.com,भद्रपुर नगरपालिका,3,धान,False
FARMER_055,Farmer 56,19656.40059558099,1.9284728729604483,0,9825814828,farmer56@gmail.com,भद्रपुर नगरपालिका,1,गहुँ,False
FARMER_056,Farmer 57,10803.912383886807,5.798661766717135,0,9858763532,farmer57@gmail.com,भद्रपुर नगरपालिका,5,आलु,False
FARMER_057,Farmer 58,49818.58952914781,14.665023530692084,5,9848538877,farmer58@gmail.com,भद्रपुर नगरपालिका,9,धान,True
FARMER_058,Farmer 59,16656.31715701782,1.213044754196027,1,9883851335,farmer59@gmail.com,भद्रपुर नगरपालिका,1,मकै,False
FARMER_059,Farmer 60,19877.725635611794,3.9848304129507444,0,9854196734,farmer60@gmail.com,भद्रपुर नगरपालिका,3,सरसों,False
FARMER_060,Farmer 61,12604.12881077355,1.537977494659018,0,9899630668,farmer61@gmail.com,भद्रपुर नगरपालिका,4,धान,False
FARMER_061,Farmer 62,14071.705116680914,4.1806269056136784,1,9890558427,farmer62@gmail.com,भद्रपुर नगरपालिका,1,धान,False
FARMER_062,Farmer 63,9468.325129969859,4.737893368511106,1,9848503931,farmer63@gmail.com,भद्रपुर नगरपालिका,1,गहुँ,False
FARMER_063,Farmer 64,9018.966879596646,1.7689765224724343,0,9829164528,farmer64@gmail.com,भद्रपुर नगरपालिका,8,आलु,False
FARMER_064,Farmer 65,19062.62911197099,4.445064193866482,0,9897580056,farmer65@gmail.com,भद्रपुर नगरपालिका,2,सरसों,False
FARMER_065,Farmer 66,21781.200142854115,3.6191713904047473,1,9830812709,farmer66@gmail.com,भद्रपुर नगरपालिका,8,मकै,False
FARMER_066,Farmer 67,14639.949392098331,4.233090239991735,0,9899589817,farmer67@gmail.com,भद्रपुर नगरपालिका,7,सरसों,False
FARMER_067,Farmer 68,20017.66448946012,5.845189473980922,1,9862203051,farmer68@gmail.com,भद्रपुर नगरपालिका,10,मकै,False
FARMER_068,Farmer 69,43874.35214806677,14.167499879913981,7,9849301804,farmer69@gmail.com,भद्रपुर नगरपालिका,10,आलु,True
FARMER_069,Farmer 70,11774.401226974378,1.8693957534637655,1,9814848287,farmer70@gmail.com,भद्रपुर नगरपालिका,2,मकै,False
FARMER_070,Farmer 71,7048.946190251398,11.163640209093275,0,9861152700,farmer71@gmail.com,भद्रपुर नगरपालिका,6,गहुँ,True
FARMER_071,Farmer 72,22690.182832329847,1.7762845725518426,1,9853750190,farmer72@gmail.com,भद्रपुर नगरपालिका,6,गहुँ,False
FARMER_072,Farmer 73,14820.869804450242,2.8843474358788437,2,9879334164,farmer73@gmail.com,भद्रपुर नगरपालिका,3,गहुँ,False
FARMER_073,Farmer 74,36116.80973935089,3.511727962224966,5,9862187215,farmer74@gmail.com,भद्रपुर नगरपालिका,2,गहुँ,True
FARMER_074,Farmer 75,5000.0,3.4150361989950286,0,9888998740,farmer75@gmail.com,भद्रपुर नगरपालिका,1,सरसों,False
FARMER_075,Farmer 76,19109.51252187612,4.240774873554036,0,9865257851,farmer76@gmail.com,भद्रपुर नगरपालिका,6,आलु,False
FARMER_076,Farmer 77,15435.235341190855,3.0195028378168605,0,9858518372,farmer77@gmail.com,भद्रपुर नगरपालिका,5,मकै,False
FARMER_077,Farmer 78,13504.963247670663,5.1803011157359755,1,9822842659,farmer78@gmail.com,भद्रपुर नगरपालिका,9,मकै,False
FARMER_078,Farmer 79,15458.803882677512,2.603014750143066,0,9843978002,farmer79@gmail.com,भद्रपुर नगरपालिका,1,गहुँ,False
FARMER_079,Farmer 80,5062.155426995536,7.080253749884428,1,9812373139,farmer80@gmail.com,भद्रपुर नगरपालिका,7,गहुँ,False
FARMER_080,Farmer 81,13901.64056081244,3.938501021647509,1,9865553464,farmer81@gmail.com,भद्रपुर नगरपालिका,5,धान,False
FARMER_081,Farmer 82,36257.528871479706,1.7142636653755763,5,9852801198,farmer82@gmail.com,भद्रपुर नगरपालिका,5,आलु,True
FARMER_082,Farmer 83,22389.47022370758,1.3936612529083314,1,9828892008,farmer83@gmail.com,भद्रपुर नगरपालिका,2,सरसों,False
FARMER_083,Farmer 84,12408.648908631763,3.7237086228647778,2,9845427853,farmer84@gmail.com,भद्रपुर नगरपालिका,3,मकै,False
FARMER_084,Farmer 85,10957.531985534062,2.664805822011224,0,9866882318,farmer85@gmail.com,भद्रपुर नगरपालिका,7,धान,False
FARMER_085,Farmer 86,12491.214782077317,4.071000741138138,0,9883190814,farmer86@gmail.com,भद्रपुर नगरपालिका,6,धान,False
FARMER_086,Farmer 87,19577.01058851037,3.709856436860317,1,9820986868,farmer87@gmail.com,भद्रपुर नगरपालिका,2,मकै,False
FARMER_087,Farmer 88,16643.75554829842,2.890756631014691,1,9850480309,farmer88@gmail.com,भद्रपुर नगरपालिका,6,सरसों,False
FARMER_088,Farmer 89,12351.198981164805,1.7298094228973926,0,9849521538,farmer89@gmail.com,भद्रपुर नगरपालिका,2,धान,False
FARMER_089,Farmer 90,17566.33716556678,0.7277291629712028,1,9888815702,farmer90@gmail.com,भद्रपुर नगरपालिका,2,धान,False
FARMER_090,Farmer 91,15485.387746740202,2.3302275718994685,2,9870972984,farmer91@gmail.com,भद्रपुर नगरपालिका,2,आलु,False
FARMER_091,Farmer 92,19843.224952664445,4.284598191485209,1,9848673354,farmer92@gmail.com,भद्रपुर नगरपालिका,3,सरसों,False
FARMER_092,Farmer 93,11489.734530613237,3.321140616195306,0,9865454431,farmer93@gmail.com,भद्रपुर नगरपालिका,2,धान,False
FARMER_093,Farmer 94,13361.68926701116,1.131391831932018,1,9875557447,farmer94@gmail.com,भद्रपुर नगरपालिका,4,सरसों,False
FARMER_094,Farmer 95,13039.459234339212,3.259771388776773,1,9893845477,farmer95@gmail.com,भद्रपुर नगरपालिका,9,मकै,False
FARMER_095,Farmer 96,34415.62079607126,3.577976069593255,7,9887982667,farmer96@gmail.com,भद्रपुर नगरपालिका,6,गहुँ,True
FARMER_096,Farmer 97,16480.60138532288,1.6742138456983005,0,9865860631,farmer97@gmail.com,भद्रपुर नगरपालिका,1,धान,False
FARMER_097,Farmer 98,16305.276360899446,3.230587658918292,1,9867681017,farmer98@gmail.com,भद्रपुर नगरपालिका,8,आलु,False
FARMER_098,Farmer 99,28483.19042720226,3.0873130776689997,5,9812667867,farmer99@gmail.com,भद्रपुर नगरपालिका,7,मकै,True
FARMER_099,Farmer 100,13827.064333124265,1.2855445532540655,2,9866987271,farmer100@gmail.com,भद्रपुर नगरपालिका,10,सरसों,False
