farmer_id,full_name,phone,email,address,municipality,ward,monthly_income,land_size_bigha,previous_grants,crop_yield,current_crops,education_level,family_size,age,farming_experience_years,credit_score,market_distance_km,has_irrigation,uses_modern_technology,social_category,has_disability,priority_score,application_status,registration_date,last_updated
FARMER_012,Radha Koirala,9845594597,radha136@gmail.com,"Ward 15, बिरेन्द्रनगर नगरपालिका",बिरेन्द्रनगर नगरपालिका,15,23005,8.25,2,low,"फर्सी, खुर्सानी",primary,3,41,4,409,18.69,True,False,janajati,True,4.83,pending,2025-03-07,2025-08-23
FARMER_013,Bikash Maharjan,9845431319,bikash518@gmail.com,"Ward 5, ललितपुर नगरपालिका",ललितपुर नगरपालिका,5,18025,1.66,0,low,"काउली, भन्टा",bachelor,6,25,4,377,23.65,True,True,janajati,True,7.83,approved,2025-01-21,2025-08-25
FARMER_014,Sita Pandey,9858942697,sita921@gmail.com,"Ward 15, भद्रपुर नगरपालिका",भद्रपुर नगरपालिका,15,10862,2.71,0,high,फर्सी,bachelor,2,36,24,640,19.67,False,True,janajati,True,8.0,approved,2024-09-04,2025-08-26
FARMER_015,Saraswati Malla,9815197528,saraswati880@gmail.com,"Ward 4, ललितपुर नगरपालिका",ललितपुर नगरपालिका,4,30084,5.42,1,average,"लौका, मकै",higher_secondary,4,66,17,709,17.15,False,True,general,False,5.17,pending,2025-05-30,2025-08-11
FARMER_016,Parvati Tamang,9824549543,parvati611@gmail.com,"Ward 6, पोखरा नगरपालिका",पोखरा नगरपालिका,6,74729,0.66,0,low,"खुर्सानी, भन्टा, लौका",secondary,4,52,3,638,15.77,True,False,other,False,6.67,pending,2024-09-22,2025-08-16
FARMER_017,Durga Khadka,9849682169,durga568@gmail.com,"Ward 4, इटहरी नगरपालिका",इटहरी नगरपालिका,4,79389,5.88,1,average,लसुन,none,6,66,11,776,11.32,True,False,dalit,True,5.5,pending,2025-04-06,2025-08-13
FARMER_018,Bikash Maharjan,9893115778,bikash344@gmail.com,"Ward 14, मेचीनगर नगरपालिका",मेचीनगर नगरपालिका,14,8848,9.91,1,average,"टमाटर, जौ, भन्टा",bachelor,5,50,8,451,16.57,True,True,madhesi,True,6.33,pending,2025-05-31,2025-08-04
FARMER_019,Sabina Koirala,9872350830,sabina52@gmail.com,"Ward 4, भक्तपुर नगरपालिका",भक्तपुर नगरपालिका,4,29958,3.98,5,average,भन्टा,bachelor,5,41,25,553,21.08,False,False,dalit,False,5.83,pending,2025-01-16,2025-08-27
FARMER_020,Sabina Pandey,9841473195,sabina279@gmail.com,"Ward 6, बिरेन्द्रनगर नगरपालिका",बिरेन्द्रनगर नगरपालिका,6,13849,0.82,1,average,"बन्दाकोबी, लसुन, धान",secondary,8,51,13,320,21.49,False,False,general,False,7.83,approved,2025-03-30,2025-08-05
FARMER_021,Saraswati Malla,9866240084,saraswati552@gmail.com,"Ward 12, पनौती नगरपालिका",पनौती नगरपालिका,12,34768,2.87,5,high,"फर्सी, गहुँ",none,6,26,30,703,15.0,True,True,madhesi,True,6.5,pending,2025-01-05,2025-08-24
FARMER_022,Sita Karki,9860882459,sita336@gmail.com,"Ward 8, धरान नगरपालिका",धरान नगरपालिका,8,26060,1.55,0,low,"धान, प्याज, जौ",primary,8,66,2,331,23.77,True,True,other,True,7.83,approved,2025-04-29,2025-08-25
FARMER_023,Prakash Shakya,9825353091,prakash578@gmail.com,"Ward 8, धरान नगरपालिका",धरान नगरपालिका,8,45997,1.35,0,low,फर्सी,higher_secondary,6,68,30,684,10.22,True,True,other,True,6.83,pending,2025-07-08,2025-08-07
FARMER_024,Rekha Pandey,9890585882,rekha825@gmail.com,"Ward 13, मेचीनगर नगरपालिका",मेचीनगर नगरपालिका,13,57755,2.74,1,average,लसुन,higher_secondary,7,54,23,456,11.17,False,False,madhesi,False,6.17,pending,2024-10-30,2025-08-21
FARMER_025,Durga Malla,9842949803,durga851@gmail.com,"Ward 5, मेचीनगर नगरपालिका",मेचीनगर नगरपालिका,5,65456,2.76,1,high,"करेला, आलु",higher_secondary,4,63,23,582,14.12,True,True,dalit,False,6.17,pending,2024-12-22,2025-08-12
FARMER_026,Rekha Thapa,9873900135,rekha662@gmail.com,"Ward 8, पनौती नगरपालिका",पनौती नगरपालिका,8,15566,5.91,1,low,"प्याज, लसुन, भन्टा",none,4,47,23,764,7.14,False,True,general,True,4.5,pending,2025-03-21,2025-08-26
FARMER_027,Dinesh Poudel,9834850391,dinesh197@gmail.com,"Ward 12, धरान नगरपालिका",धरान नगरपालिका,12,73640,3.96,1,high,"धान, भन्टा",none,3,42,2,355,14.06,True,False,general,True,6.17,pending,2024-11-09,2025-08-20
FARMER_028,Prakash Dahal,9869118721,prakash349@gmail.com,"Ward 1, इटहरी नगरपालिका",इटहरी नगरपालिका,1,9136,1.06,0,average,जौ,primary,6,51,20,531,19.5,False,False,madhesi,False,8.67,approved,2024-11-01,2025-08-16
FARMER_029,Shiva Acharya,9893352876,shiva62@gmail.com,"Ward 12, धुलिखेल नगरपालिका",धुलिखेल नगरपालिका,12,6625,5.52,0,high,"बन्दाकोबी, भन्टा",none,5,43,2,537,7.56,False,False,general,True,7.83,approved,2025-04-16,2025-08-04
FARMER_030,Suresh Maharjan,9889160218,suresh678@gmail.com,"Ward 7, धरान नगरपालिका",धरान नगरपालिका,7,49734,0.71,1,low,"लौका, टमाटर, आलु",bachelor,2,54,23,611,17.64,False,False,madhesi,True,5.67,pending,2024-10-27,2025-08-28
FARMER_031,Asha Rana,9853261270,asha619@gmail.com,"Ward 1, बिराटनगर नगरपालिका",बिराटनगर नगरपालिका,1,79191,2.04,0,average,"खुर्सानी, बन्दाकोबी, आलु",secondary,6,52,21,803,24.24,False,False,madhesi,False,6.83,pending,2025-03-18,2025-08-08
FARMER_032,Hari Malla,9831585546,hari338@gmail.com,"Ward 12, पोखरा नगरपालिका",पोखरा नगरपालिका,12,24445,3.1,1,high,"लौका, काउली",primary,7,59,15,723,1.83,False,False,madhesi,True,6.67,pending,2025-05-17,2025-08-21
FARMER_033,Rajesh Rai,9848658617,rajesh449@gmail.com,"Ward 8, पनौती नगरपालिका",पनौती नगरपालिका,8,76290,1.62,0,high,बन्दाकोबी,primary,7,34,16,598,12.97,False,False,madhesi,False,7.67,approved,2025-04-27,2025-08-15
FARMER_034,Rajesh Rai,9861484043,rajesh196@gmail.com,"Ward 9, धुलिखेल नगरपालिका",धुलिखेल नगरपालिका,9,17288,0.98,4,average,"टमाटर, खुर्सानी, बन्दाकोबी",secondary,5,59,16,653,8.64,False,False,janajati,True,6.17,pending,2024-09-06,2025-08-22
FARMER_035,Anita Khadka,9841348220,anita877@gmail.com,"Ward 1, पोखरा नगरपालिका",पोखरा नगरपालिका,1,30499,1.88,0,high,"टमाटर, प्याज, मकै",bachelor,2,58,30,767,0.88,True,False,dalit,True,7.5,approved,2025-01-01,2025-08-04
FARMER_036,Parvati Bhattarai,9893652460,parvati710@gmail.com,"Ward 11, पोखरा नगरपालिका",पोखरा नगरपालिका,11,79195,2.63,2,high,खुर्सानी,higher_secondary,3,30,14,400,19.13,True,False,dalit,False,5.5,pending,2025-08-15,2025-08-28
FARMER_037,Durga Manandhar,9817532195,durga301@gmail.com,"Ward 6, बिरेन्द्रनगर नगरपालिका",बिरेन्द्रनगर नगरपालिका,6,51004,1.08,2,average,"खुर्सानी, जौ, बन्दाकोबी",none,3,39,15,560,11.76,True,False,janajati,True,5.33,pending,2025-07-23,2025-08-15
FARMER_038,Ganesh Acharya,9850151803,ganesh655@gmail.com,"Ward 12, पोखरा नगरपालिका",पोखरा नगरपालिका,12,9097,3.71,4,average,"आलु, धान, खुर्सानी",bachelor,4,25,19,350,22.81,False,False,dalit,False,6.83,pending,2025-05-09,2025-08-09
FARMER_039,Radha Joshi,9843638559,radha695@gmail.com,"Ward 13, पनौती नगरपालिका",पनौती नगरपालिका,13,76122,3.58,0,average,"भन्टा, लसुन",secondary,3,33,26,674,13.51,False,True,janajati,False,5.83,pending,2025-03-31,2025-08-06
FARMER_040,Narayan Bhattarai,9825457816,narayan480@gmail.com,"Ward 3, मेचीनगर नगरपालिका",मेचीनगर नगरपालिका,3,28023,0.63,1,low,"खुर्सानी, आलु, टमाटर",bachelor,8,65,12,410,17.03,False,True,other,False,6.5,pending,2024-10-21,2025-08-22
FARMER_041,Kumari Gurung,9895282470,kumari844@gmail.com,"Ward 15, ललितपुर नगरपालिका",ललितपुर नगरपालिका,15,9951,0.56,0,low,"बन्दाकोबी, प्याज",none,5,62,24,458,22.19,True,False,other,False,8.33,approved,2025-04-08,2025-08-28
FARMER_042,Sabina Adhikari,9839161443,sabina455@gmail.com,"Ward 4, ललितपुर नगरपालिका",ललितपुर नगरपालिका,4,18256,3.96,0,high,"मकै, खुर्सानी",secondary,7,65,20,321,1.74,False,True,dalit,True,7.83,approved,2025-07-25,2025-08-03
FARMER_043,Rekha Poudel,9837804191,rekha601@gmail.com,"Ward 14, धरान नगरपालिका",धरान नगरपालिका,14,44671,0.5,0,high,"लौका, धान, गहुँ",primary,4,40,19,631,0.89,False,True,dalit,False,6.83,pending,2024-12-03,2025-08-26
FARMER_044,Dinesh Gurung,9873920651,dinesh460@gmail.com,"Ward 9, बिरेन्द्रनगर नगरपालिका",बिरेन्द्रनगर नगरपालिका,9,64623,8.39,1,high,बन्दाकोबी,bachelor,5,68,4,802,17.95,False,True,general,False,5.5,pending,2024-10-22,2025-08-25
FARMER_045,Gita Rai,9846912022,gita640@gmail.com,"Ward 10, बनेपा नगरपालिका",बनेपा नगरपालिका,10,59963,1.24,2,low,"भन्टा, लौका, जौ",bachelor,5,39,14,647,20.77,False,False,general,False,5.0,pending,2025-01-23,2025-08-19
FARMER_046,Bikash Karki,9860237832,bikash977@gmail.com,"Ward 11, इटहरी नगरपालिका",इटहरी नगरपालिका,11,12770,0.63,2,average,"मकै, लसुन, प्याज",bachelor,8,28,10,619,9.12,True,True,madhesi,True,7.17,approved,2025-07-05,2025-08-18
FARMER_047,Narayan Poudel,9859333209,narayan118@gmail.com,"Ward 10, बिराटनगर नगरपालिका",बिराटनगर नगरपालिका,10,71764,4.25,0,high,"भन्टा, करेला",higher_secondary,4,47,1,485,21.81,False,True,dalit,True,6.67,pending,2025-07-14,2025-08-06
FARMER_048,Sunita Sherpa,9860491958,sunita430@gmail.com,"Ward 6, ललितपुर नगरपालिका",ललितपुर नगरपालिका,6,55424,0.95,0,low,खुर्सानी,primary,4,53,22,734,12.4,False,False,janajati,True,6.5,pending,2024-12-10,2025-08-26
FARMER_049,Ganesh Rana,9824883373,ganesh291@gmail.com,"Ward 11, बनेपा नगरपालिका",बनेपा नगरपालिका,11,69534,0.93,0,average,करेला,secondary,8,41,10,635,3.44,False,False,dalit,True,7.17,approved,2025-02-16,2025-08-12
FARMER_050,Sabina Thapa,9877144075,sabina573@gmail.com,"Ward 13, बनेपा नगरपालिका",बनेपा नगरपालिका,13,61023,2.04,5,average,"खुर्सानी, लसुन, आलु",primary,5,26,11,475,20.13,False,False,general,False,5.33,pending,2025-07-06,2025-08-22
FARMER_051,Buddha Acharya,9863747464,buddha537@gmail.com,"Ward 7, मेचीनगर नगरपालिका",मेचीनगर नगरपालिका,7,26126,7.84,1,average,"लौका, खुर्सानी, गहुँ",secondary,2,34,9,502,4.75,True,True,dalit,False,4.5,pending,2025-01-04,2025-08-05
FARMER_052,Anita Tuladhar,9887774890,anita460@gmail.com,"Ward 15, बनेपा नगरपालिका",बनेपा नगरपालिका,15,25591,2.14,4,high,"काउली, मकै",higher_secondary,5,53,2,358,9.53,False,True,general,False,6.0,pending,2025-01-05,2025-08-11
FARMER_053,Rajesh Manandhar,9815505975,rajesh461@gmail.com,"Ward 11, धुलिखेल नगरपालिका",धुलिखेल नगरपालिका,11,25536,3.92,2,low,धान,secondary,7,53,15,836,13.31,True,False,janajati,False,5.17,pending,2025-02-12,2025-08-16
FARMER_054,Rekha Bhattarai,9890246882,rekha54@gmail.com,"Ward 11, बनेपा नगरपालिका",बनेपा नगरपालिका,11,10482,5.59,1,high,"खुर्सानी, गहुँ, प्याज",higher_secondary,7,69,22,701,3.66,True,False,other,False,7.0,pending,2024-10-04,2025-08-04
FARMER_055,Durga Dangol,9827152188,durga687@gmail.com,"Ward 14, पनौती नगरपालिका",पनौती नगरपालिका,14,77338,1.09,1,average,जौ,secondary,3,29,10,403,12.94,True,False,other,True,6.0,pending,2024-10-28,2025-08-17
FARMER_056,Laxmi Limbu,9834272734,laxmi852@gmail.com,"Ward 13, पनौती नगरपालिका",पनौती नगरपालिका,13,29342,9.82,4,average,काउली,secondary,4,55,29,498,9.51,False,False,janajati,False,5.17,pending,2024-12-15,2025-08-13
FARMER_057,Buddha Limbu,9836802975,buddha821@gmail.com,"Ward 3, धुलिखेल नगरपालिका",धुलिखेल नगरपालिका,3,16710,4.71,1,high,आलु,bachelor,6,34,27,747,2.75,True,False,janajati,True,6.17,pending,2025-01-29,2025-08-28
FARMER_058,Saraswati Koirala,9860192261,saraswati242@gmail.com,"Ward 2, पोखरा नगरपालिका",पोखरा नगरपालिका,2,22358,1.8,0,average,"भन्टा, लौका",secondary,8,70,16,759,15.58,True,True,janajati,True,7.83,approved,2025-06-14,2025-08-12
FARMER_059,Dinesh Joshi,9880836292,dinesh434@gmail.com,"Ward 13, मेचीनगर नगरपालिका",मेचीनगर नगरपालिका,13,9720,2.84,0,average,"काउली, धान, खुर्सानी",none,6,40,23,447,7.64,True,False,dalit,False,8.33,approved,2025-05-26,2025-08-08
FARMER_060,Bikash Gurung,9880260907,bikash999@gmail.com,"Ward 2, बिरेन्द्रनगर नगरपालिका",बिरेन्द्रनगर नगरपालिका,2,68249,6.87,1,average,"धान, प्याज, करेला",primary,4,40,24,406,19.4,False,True,general,False,4.83,pending,2024-11-23,2025-08-19
FARMER_061,Puja Maharjan,9833500064,puja851@gmail.com,"Ward 8, बनेपा नगरपालिका",बनेपा नगरपालिका,8,12840,1.5,0,low,"फर्सी, आलु",none,5,59,16,559,1.4,True,False,janajati,True,7.67,approved,2024-09-28,2025-08-19
FARMER_062,Parvati Magar,9859394697,parvati448@gmail.com,"Ward 12, पोखरा नगरपालिका",पोखरा नगरपालिका,12,12204,9.55,0,low,"मकै, लसुन",none,8,36,18,600,8.37,True,False,janajati,False,6.83,pending,2025-01-13,2025-08-10
FARMER_063,Sabina Rana,9832366682,sabina707@gmail.com,"Ward 6, ललितपुर नगरपालिका",ललितपुर नगरपालिका,6,58106,1.9,2,low,"प्याज, काउली",secondary,2,34,28,748,1.35,True,True,janajati,False,4.17,pending,2025-02-14,2025-08-11
FARMER_064,Sita Joshi,9830594121,sita696@gmail.com,"Ward 6, ललितपुर नगरपालिका",ललितपुर नगरपालिका,6,40039,2.73,0,high,"गहुँ, बन्दाकोबी, काउली",bachelor,6,32,9,566,17.75,True,False,madhesi,True,7.5,approved,2025-06-28,2025-08-25
FARMER_065,Narayan Gurung,9870672142,narayan177@gmail.com,"Ward 8, पनौती नगरपालिका",पनौती नगरपालिका,8,25473,3.1,3,low,"खुर्सानी, गहुँ, करेला",higher_secondary,6,39,4,505,19.91,True,False,general,False,5.67,pending,2024-11-19,2025-08-11
FARMER_066,Ganesh Basnet,9884040798,ganesh133@gmail.com,"Ward 15, धुलिखेल नगरपालिका",धुलिखेल नगरपालिका,15,17155,3.44,0,average,"मकै, बन्दाकोबी, लौका",none,4,33,29,486,19.31,True,False,other,True,7.33,approved,2025-06-27,2025-08-13
FARMER_067,Laxmi Pandey,9832099899,laxmi166@gmail.com,"Ward 15, बिरेन्द्रनगर नगरपालिका",बिरेन्द्रनगर नगरपालिका,15,26339,7.85,0,low,"टमाटर, काउली",primary,6,66,6,457,4.69,False,True,general,True,6.0,pending,2025-08-06,2025-08-09
FARMER_068,Rekha Acharya,9845521514,rekha667@gmail.com,"Ward 13, धरान नगरपालिका",धरान नगरपालिका,13,75509,7.32,1,high,"लसुन, आलु, बन्दाकोबी",primary,7,28,6,750,10.68,False,True,janajati,True,5.5,pending,2025-03-22,2025-08-02
FARMER_069,Sabina Bhattarai,9856354851,sabina999@gmail.com,"Ward 3, पोखरा नगरपालिका",पोखरा नगरपालिका,3,11070,0.95,0,low,"लसुन, लौका",none,5,40,28,463,20.43,False,True,dalit,False,7.83,approved,2024-12-09,2025-08-15
FARMER_070,Prakash Pandey,9876755908,prakash24@gmail.com,"Ward 7, मेचीनगर नगरपालिका",मेचीनगर नगरपालिका,7,13281,5.76,1,low,लौका,primary,5,33,29,570,18.32,False,False,general,False,5.83,pending,2025-08-03,2025-08-11
FARMER_071,Rajesh Sherpa,9858657117,rajesh567@gmail.com,"Ward 2, बिराटनगर नगरपालिका",बिराटनगर नगरपालिका,2,64515,0.89,0,average,"करेला, प्याज",none,4,34,7,821,10.33,True,True,general,True,6.33,pending,2025-03-12,2025-08-04
FARMER_072,Prakash Koirala,9871335966,prakash153@gmail.com,"Ward 15, धुलिखेल नगरपालिका",धुलिखेल नगरपालिका,15,56494,2.79,4,low,"बन्दाकोबी, भन्टा, टमाटर",higher_secondary,5,26,12,639,17.01,False,False,general,False,4.67,pending,2025-04-16,2025-08-09
FARMER_073,Suresh Tuladhar,9887641510,suresh592@gmail.com,"Ward 12, धरान नगरपालिका",धरान नगरपालिका,12,5841,3.44,3,high,टमाटर,primary,3,26,15,621,10.76,False,True,madhesi,False,6.33,pending,2025-07-29,2025-08-07
FARMER_074,Laxmi Koirala,9837828932,laxmi575@gmail.com,"Ward 11, बिरेन्द्रनगर नगरपालिका",बिरेन्द्रनगर नगरपालिका,11,32219,7.25,4,low,"खुर्सानी, करेला, भन्टा",higher_secondary,6,55,7,552,7.34,False,True,janajati,False,4.33,pending,2024-09-03,2025-08-23
FARMER_075,Sabina Bajracharya,9875632882,sabina325@gmail.com,"Ward 6, ललितपुर नगरपालिका",ललितपुर नगरपालिका,6,14183,3.09,0,average,आलु,primary,4,53,21,562,18.81,True,True,other,False,7.5,approved,2024-11-15,2025-08-07
FARMER_076,Parvati Rai,9824660143,parvati631@gmail.com,"Ward 10, पनौती नगरपालिका",पनौती नगरपालिका,10,38327,1.77,1,low,"मकै, खुर्सानी",secondary,2,60,30,461,10.47,False,False,dalit,False,5.5,pending,2025-03-18,2025-08-20
FARMER_077,Kumari Tamang,9822007214,kumari668@gmail.com,"Ward 4, धुलिखेल नगरपालिका",धुलिखेल नगरपालिका,4,16223,2.35,0,low,"फर्सी, धान",primary,4,61,20,409,23.25,False,False,madhesi,False,7.0,pending,2025-06-22,2025-08-02
FARMER_078,Sunita Basnet,9846619573,sunita198@gmail.com,"Ward 6, मेचीनगर नगरपालिका",मेचीनगर नगरपालिका,6,30038,2.03,0,low,"फर्सी, लसुन, लौका",none,4,30,13,397,5.03,True,False,janajati,True,6.67,pending,2025-08-26,2025-08-21
FARMER_079,Saraswati Thapa,9869959826,saraswati772@gmail.com,"Ward 6, बिराटनगर नगरपालिका",बिराटनगर नगरपालिका,6,9947,5.49,1,average,लसुन,none,7,44,23,420,16.15,False,False,other,True,7.0,pending,2025-05-09,2025-08-25
FARMER_080,Prakash Rai,9871066203,prakash766@gmail.com,"Ward 6, धुलिखेल नगरपालिका",धुलिखेल नगरपालिका,6,65857,8.59,2,average,"भन्टा, प्याज, मकै",none,2,28,27,817,5.45,True,True,janajati,False,3.83,pending,2025-07-01,2025-08-08
FARMER_081,Radha Bajracharya,9888268756,radha501@gmail.com,"Ward 15, मेचीनगर नगरपालिका",मेचीनगर नगरपालिका,15,29598,7.43,5,average,"धान, लसुन, आलु",primary,7,38,19,374,1.61,False,True,other,True,4.83,pending,2025-07-25,2025-07-31
FARMER_082,Prakash Tamang,9848532662,prakash419@gmail.com,"Ward 13, इटहरी नगरपालिका",इटहरी नगरपालिका,13,28775,1.13,3,average,गहुँ,none,5,58,5,528,20.95,True,False,madhesi,False,6.17,pending,2024-11-30,2025-08-17
FARMER_083,Puja Thapa,9843220503,puja472@gmail.com,"Ward 3, बिरेन्द्रनगर नगरपालिका",बिरेन्द्रनगर नगरपालिका,3,9516,1.63,0,low,टमाटर,primary,5,63,22,349,6.5,True,False,madhesi,True,8.5,approved,2024-11-26,2025-08-23
FARMER_084,Rekha Malla,9817575790,rekha144@gmail.com,"Ward 5, भक्तपुर नगरपालिका",भक्तपुर नगरपालिका,5,55900,3.35,3,low,लसुन,higher_secondary,4,28,18,479,15.84,False,False,general,False,4.83,pending,2024-10-04,2025-08-08
FARMER_085,Saraswati Manandhar,9880392240,saraswati327@gmail.com,"Ward 7, पनौती नगरपालिका",पनौती नगरपालिका,7,19890,0.76,4,high,"फर्सी, धान",none,5,51,18,842,3.79,True,False,dalit,False,6.17,pending,2024-10-02,2025-08-27
FARMER_086,Ramesh Basnet,9859805178,ramesh95@gmail.com,"Ward 12, भक्तपुर नगरपालिका",भक्तपुर नगरपालिका,12,16689,1.44,1,high,"आलु, धान",secondary,3,32,24,790,22.9,True,False,dalit,False,6.83,pending,2025-04-07,2025-08-17
FARMER_087,Maya Poudel,9897069904,maya368@gmail.com,"Ward 5, बिराटनगर नगरपालिका",बिराटनगर नगरपालिका,5,31804,3.96,1,average,"धान, टमाटर",secondary,7,34,1,567,14.06,False,False,dalit,True,6.83,pending,2025-03-14,2025-08-22
FARMER_088,Saraswati Acharya,9842981324,saraswati512@gmail.com,"Ward 11, भक्तपुर नगरपालिका",भक्तपुर नगरपालिका,11,67023,2.98,0,low,"बन्दाकोबी, गहुँ, काउली",primary,6,27,27,376,23.66,True,True,madhesi,True,6.67,pending,2024-10-11,2025-08-22
FARMER_089,Gita Bajracharya,9830270856,gita10@gmail.com,"Ward 9, धरान नगरपालिका",धरान नगरपालिका,9,38962,9.49,0,high,"काउली, लसुन, धान",primary,6,42,18,593,0.92,False,True,general,True,6.0,pending,2024-12-04,2025-08-25
FARMER_090,Bishnu Sherpa,9893185576,bishnu540@gmail.com,"Ward 14, बिराटनगर नगरपालिका",बिराटनगर नगरपालिका,14,10807,7.43,1,low,खुर्सानी,primary,2,50,13,686,14.04,True,True,dalit,True,5.17,pending,2024-12-17,2025-08-02
FARMER_091,Buddha Maharjan,9854462389,buddha580@gmail.com,"Ward 15, मेचीनगर नगरपालिका",मेचीनगर नगरपालिका,15,13653,3.38,0,low,"फर्सी, काउली",none,7,27,6,622,0.88,True,True,madhesi,True,7.33,approved,2025-03-29,2025-08-24
FARMER_092,Anita Thapa,9886060638,anita855@gmail.com,"Ward 11, पोखरा नगरपालिका",पोखरा नगरपालिका,11,60156,8.37,0,high,"जौ, लौका",primary,4,63,25,706,24.24,False,True,janajati,False,6.33,pending,2024-12-21,2025-08-22
FARMER_093,Ganesh Poudel,9860388958,ganesh443@gmail.com,"Ward 11, इटहरी नगरपालिका",इटहरी नगरपालिका,11,40617,2.49,1,low,"गहुँ, भन्टा, लसुन",higher_secondary,4,31,3,305,23.6,False,False,janajati,True,5.83,pending,2025-06-23,2025-08-27
FARMER_094,Krishna Rana,9870242778,krishna571@gmail.com,"Ward 9, भक्तपुर नगरपालिका",भक्तपुर नगरपालिका,9,11685,2.19,0,average,"लसुन, करेला",primary,7,60,29,548,14.51,True,False,dalit,True,8.33,approved,2025-04-14,2025-08-20
FARMER_095,Parvati Dahal,9829587040,parvati65@gmail.com,"Ward 7, इटहरी नगरपालिका",इटहरी नगरपालिका,7,28799,9.67,5,low,बन्दाकोबी,primary,3,44,1,705,8.64,False,False,madhesi,False,4.17,pending,2025-01-21,2025-08-03
FARMER_096,Puja Malla,9897380687,puja998@gmail.com,"Ward 3, धुलिखेल नगरपालिका",धुलिखेल नगरपालिका,3,74533,2.63,4,low,"बन्दाकोबी, टमाटर, करेला",secondary,4,49,9,702,9.44,True,True,other,True,4.0,pending,2025-01-05,2025-08-07
FARMER_097,Radha Basnet,9849101812,radha852@gmail.com,"Ward 2, पनौती नगरपालिका",पनौती नगरपालिका,2,44122,2.51,0,average,"बन्दाकोबी, टमाटर, लसुन",none,6,69,14,337,19.87,False,True,general,True,7.0,pending,2024-09-27,2025-08-08
FARMER_098,Ganesh Limbu,9896838849,ganesh628@gmail.com,"Ward 10, भद्रपुर नगरपालिका",भद्रपुर नगरपालिका,10,11547,7.11,1,average,"बन्दाकोबी, करेला",none,7,57,5,653,24.94,False,True,janajati,False,6.33,pending,2025-07-17,2025-08-26
FARMER_099,Puja Vajracharya,9829015320,puja357@gmail.com,"Ward 6, बिराटनगर नगरपालिका",बिराटनगर नगरपालिका,6,21779,2.2,0,average,करेला,primary,2,46,21,411,17.09,True,True,other,True,6.67,pending,2024-11-20,2025-08-24
